# CSV-File created with merge-csv.com,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Category,Sub_Category,Name,Location_Area,Price_Range_INR,Description,Rating,Contact_Timings,,,,,,,,,,,,,,,
Shopping,Cashews,Cashew Factory,Cuncolim,200-1500,Direct from factory cashews and feni,4.3/5,9:00 AM - 6:00 PM,,,,,,,,,,,,,,,
Shopping,Beach Shacks,Beach Markets,Various Beaches,100-1000,Beachside stalls with sarongs and accessories,4.0/5,Variable,,,,,,,,,,,,,,,
Food,Beach Shack,Curlies,Anjuna Beach,800-2000,Iconic beach shack with seafood and cocktails,4.4/5,8:00 AM - 2:00 AM,,,,,,,,,,,,,,,
Food,Beach Shack,Shiva Valley,Anjuna Beach,600-1800,Popular shack with sunset views and music,4.3/5,10:00 AM - 1:00 AM,,,,,,,,,,,,,,,
Food,Seafood,Fishermans Wharf,Multiple locations,1200-3000,Goan seafood restaurant with river views,4.5/5,12:00 PM - 12:00 AM,,,,,,,,,,,,,,,
Food,Portuguese,Viva Panjim,Panaji,800-2000,Authentic Goan-Portuguese cuisine,4.6/5,12:00 PM - 3:30 PM & 7:00 PM - 10:30 PM,,,,,,,,,,,,,,,
Food,Fine Dining,Thalassa,Vagator Beach,2000-4000,Greek restaurant with cliff-top views,4.7/5,5:00 PM - 1:00 AM,,,,,,,,,,,,,,,
Food,Local,Vinayak Family Restaurant,Assagao,400-1200,Homestyle Goan cooking,4.5/5,12:00 PM - 3:00 PM & 7:30 PM - 11:00 PM,,,,,,,,,,,,,,,
Food,Bakery,Infantaria,Calangute,200-800,Famous bakery and cafe since 1966,4.4/5,7:00 AM - 11:00 PM,,,,,,,,,,,,,,,
Food,Street Food,Ritz Classic,Panaji,300-800,Local Goan snacks and sweets,4.3/5,8:00 AM - 9:00 PM,,,,,,,,,,,,,,,
Food,Multi-cuisine,Brittos,Baga Beach,1000-2500,Beachfront restaurant with live music,4.2/5,8:00 AM - 1:00 AM,,,,,,,,,,,,,,,
Food,Fine Dining,Black Sheep Bistro,Panaji,1800-3500,Contemporary European cuisine,4.8/5,6:30 PM - 11:30 PM,,,,,,,,,,,,,,,
Food,Beach Shack,Sunset Point,Arambol Beach,500-1500,Beachfront dining with sunset views,4.3/5,8:00 AM - 11:00 PM,,,,,,,,,,,,,,,
Food,Goan,Mum's Kitchen,Panaji,600-1800,Traditional Goan home-style cooking,4.4/5,11:30 AM - 3:30 PM & 7:00 PM - 11:00 PM,,,,,,,,,,,,,,,
Hotels,Luxury,Taj Exotica Resort & Spa,Benaulim,15000-50000,Beachfront luxury resort with spa,4.6/5,Check-in: 3:00 PM,,,,,,,,,,,,,,,
Hotels,Luxury,The Leela Goa,Cavelossim,12000-40000,Luxury beach resort with golf course,4.5/5,Check-in: 3:00 PM,,,,,,,,,,,,,,,
Hotels,Heritage,Pousada by the Beach,Calangute,8000-25000,Portuguese-style heritage hotel,4.4/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Beach Resort,Coconut Grove,Bogmalo Beach,5000-15000,Beach resort with water sports,4.3/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Budget,Backpacker Panda,Arambol,800-2500,Beach hostel with dorms and private rooms,4.2/5,Check-in: 12:00 PM,,,,,,,,,,,,,,,
Hotels,Mid-Range,Casa Colvale,Colvale,3000-8000,Boutique hotel in countryside setting,4.4/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Beach Resort,Holiday Inn Resort,Candolim,6000-18000,Beachfront resort with multiple restaurants,4.3/5,Check-in: 3:00 PM,,,,,,,,,,,,,,,
Hotels,Luxury,W Goa,Vagator,20000-60000,Trendy luxury resort with beach club,4.5/5,Check-in: 3:00 PM,,,,,,,,,,,,,,,
Hotels,Heritage,Ahilya by the Sea,Nerul,4000-12000,Boutique heritage property,4.5/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Beach Resort,Zuri White Sands Resort,Varca Beach,8000-25000,All-inclusive beach resort,4.4/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Budget,Zostel Goa,Anjuna,1000-3000,Backpacker hostel near beach,4.1/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Villa,Casa Britona,Britona Island,6000-20000,Portuguese villa on private island,4.6/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Casino,Deltin Royale,Mandovi River,3000-8000,Luxury floating casino with shows,4.2/5,24 hours,,,,,,,,,,,,,,,
Tourist Spots,Adventure,Scuba Diving,Grande Island,3000-8000,PADI certified scuba diving,4.5/5,8:00 AM - 5:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Water Sports,Parasailing,Baga Beach,1500-3000,Parasailing and jet ski activities,4.3/5,9:00 AM - 5:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Cruise,Sunset Cruise,Mandovi River,800-2000,Evening cruise with cultural shows,4.4/5,6:00 PM - 8:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Temple,Mangeshi Temple,Ponda,Free,Famous Hindu temple with unique architecture,4.5/5,6:00 AM - 10:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Market,Fish Market,Mapusa,Free-500,Traditional fish market experience,4.0/5,6:00 AM - 12:00 PMTourist Spots,Palace,City Palace,City Palace Road,300-600,Magnificent palace complex overlooking Lake Pichola,4.6/5,9:30 AM - 5:30 PM,,,,,,,,
Tourist Spots,Palace,Lake Palace,Lake Pichola,500-1000,Iconic white marble palace on island in lake,4.7/5,Viewing from outside / Hotel guests only,,,,,,,,,,,,,,,
Tourist Spots,Palace,Jag Mandir,Lake Pichola,400-800,Island palace with gardens and courtyards,4.5/5,10:00 AM - 6:00 PM (boat ride),,,,,,,,,,,,,,,
Tourist Spots,Lake,Lake Pichola,City Center,200-500,Artificial lake with boat rides and sunset views,4.6/5,6:00 AM - 7:00 PM (boats),,,,,,,,,,,,,,,
Tourist Spots,Lake,Fateh Sagar Lake,North Udaipur,100-300,Second largest lake with islands and boat rides,4.4/5,9:00 AM - 6:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Garden,Saheliyon Ki Bari,Saheli Marg,30-50,Garden of maidens with fountains and lotus pools,4.3/5,8:00 AM - 6:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Temple,Jagdish Temple,City Palace Road,Free,Large Indo-Aryan temple dedicated to Lord Vishnu,4.4/5,4:00 AM - 10:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Museum,Vintage Car Museum,Gulab Bagh Road,250-400,Collection of vintage and classic cars,4.2/5,9:00 AM - 9:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Fort,Monsoon Palace,Bansdara Peak,300-500,Hilltop palace with panoramic city views,4.3/5,9:00 AM - 6:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Cultural,Bagore Ki Haveli,Gangaur Ghat,60-100,Historic haveli with cultural performances,4.4/5,10:00 AM - 5:30 PM,,,,,,,,,,,,,,,
Tourist Spots,Temple,Eklingji Temple,Kailashpuri,Free,Ancient temple complex 22 km from Udaipur,4.5/5,4:30 AM - 7:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Lake,Udai Sagar Lake,East Udaipur,50-200,Scenic lake with dam and bird watching,4.1/5,Sunrise to sunset,,,,,,,,,,,,,,,
Shopping,Market,Hathi Pol Bazaar,Old City,200-5000,Traditional market for miniature paintings and handicrafts,4.2/5,10:00 AM - 8:00 PM,,,,,,,,,,,,,,,
Shopping,Market,Bada Bazaar,Chetak Circle,100-3000,Local market for textiles and daily items,4.0/5,9:00 AM - 9:00 PM,,,,,,,,,,,,,,,
Shopping,Market,Clock Tower Market,Ghanta Ghar,150-2500,Bustling market for spices jewelry and textiles,4.1/5,10:00 AM - 8:30 PM,,,,,,,,,,,,,,,
Shopping,Handicrafts,Shilpgram,Havala Village,50-3000,Craft village with artisan demonstrations,4.3/5,11:00 AM - 7:00 PM,,,,,,,,,,,,,,,
Shopping,Mall,Celebration Mall,Durga Nursery Road,500-8000,Modern shopping mall with brands and food court,4.2/5,10:00 AM - 10:00 PM,,,,,,,,,,,,,,,
Shopping,Art,Miniature Painting Shops,City Palace Road,500-15000,Authentic Rajasthani miniature paintings,4.4/5,10:00 AM - 7:00 PM,,,,,,,,,,,,,,,
Shopping,Handicrafts,Rajasthali,Chetak Circle,200-4000,Government emporium for certified handicrafts,4.1/5,10:00 AM - 7:30 PM,,,,,,,,,,,,,,,
Shopping,Textiles,Sadhna,Jagdish Temple Road,800-6000,Fair trade textiles and embroidered items,4.3/5,9:30 AM - 8:00 PM,,,,,,,,,,,,,,,
Food,Fine Dining,Ambrai,Amet Haveli,2000-4000,Lakeside dining with palace views,4.7/5,7:00 PM - 11:00 PM,,,,,,,,,,,,,,,
Food,Rooftop,Upre by 1559 AD,Lake Palace Road,1800-3500,Rooftop restaurant with lake views,4.6/5,7:00 PM - 11:30 PM,,,,,,,,,,,,,,,
Food,Traditional,Natraj Dining Hall,City Station Road,200-600,Famous for traditional Rajasthani thali,4.5/5,11:00 AM - 3:00 PM & 7:00 PM - 10:30 PM,,,,,,,,,,,,,,,
Food,Street Food,Shree Mishrilal Hotel,Jagdish Temple,50-200,Famous for lassi and traditional sweets,4.4/5,6:00 AM - 11:00 PM,,,,,,,,,,,,,,,
Food,Multi-cuisine,Tribute Restaurant,Lake Palace Road,1200-2800,Multi-cuisine with live music,4.4/5,7:00 PM - 11:00 PM,,,,,,,,,,,,,,,
Food,Cafe,Jheel's Ginger Coffee Bar,Gangaur Ghat,300-800,Lakeside cafe with coffee and snacks,4.3/5,8:00 AM - 11:00 PM,,,,,,,,,,,,,,,
Food,Traditional,Jagat Niwas Palace,Lake Palace Road,1500-3000,Heritage hotel restaurant with lake views,4.5/5,7:00 AM - 11:00 PM,,,,,,,,,,,,,,,
Food,Vegetarian,Millets of Mewar,Fateh Prakash Palace,800-1800,Healthy vegetarian cuisine,4.4/5,12:30 PM - 3:00 PM & 7:30 PM - 10:30 PM,,,,,,,,,,,,,,,
Food,Rooftop,Rainbow Restaurant,Lake Palace Road,600-1500,Colorful rooftop restaurant with city views,4.2/5,8:00 AM - 11:00 PM,,,,,,,,,,,,,,,
Food,Fine Dining,1559 AD,City Palace,2500-5000,Royal dining experience in palace setting,4.8/5,7:00 PM - 10:30 PM,,,,,,,,,,,,,,,
Hotels,Luxury,The Oberoi Udaivilas,Haridasji Ki Magri,40000-120000,Ultra-luxury resort with private pools,4.8/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Luxury,Taj Lake Palace,Lake Pichola,35000-150000,Iconic floating palace hotel,4.7/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Heritage,Shiv Niwas Palace,City Palace Complex,15000-40000,Heritage palace hotel with royal suites,4.6/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Heritage,Fateh Prakash Palace,City Palace Complex,12000-35000,Heritage hotel with crystal gallery,4.5/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Mid-Range,Jagat Niwas Palace,Lake Palace Road,4000-12000,Heritage hotel on lake shore,4.4/5,Check-in: 12:00 PM,,,,,,,,,,,,,,,
Hotels,Mid-Range,Hotel Lakend,Fateh Sagar Lake,3000-8000,Lakeside hotel with modern amenities,4.3/5,Check-in: 1:00 PM,,,,,,,,,,,,,,,
Hotels,Budget,Zostel Udaipur,Lake Palace Road,800-2000,Backpacker hostel with lake views,4.2/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Heritage,Amet Haveli,Outside Chandpole,5000-15000,Heritage haveli with lakeside dining,4.4/5,Check-in: 2:00 PM,,,,,,,,,,,,,,,
Hotels,Budget,Moustache Hostel,Lal Ghat,600-1500,Budget hostel near City Palace,4.1/5,Check-in: 12:00 PM,,,,,,,,,,,,,,,
Hotels,Mid-Range,Hotel Hilltop Palace,Ambavgarh,2500-7000,Hilltop location with panoramic views,4.2/5,Check-in: 1:00 PM,,,,,,,,,,,,,,,
Hotels,Luxury,The Leela Palace Udaipur,Lake Pichola,25000-80000,Luxury hotel with spa and lake views,4.7/5,Check-in: 3:00 PM,,,,,,,,,,,,,,,
Hotels,Heritage,Kankarwa Haveli,Lal Ghat,3500-10000,Traditional haveli near City Palace,4.3/5,Check-in: 2:00 PMTourist Spots,Palace/Fort,Amber Fort,Amber,500-1000,Historic fort with elephant rides and light show,4.5/5,8:00 AM - 6:00 PM,,,,,,,,
Tourist Spots,Palace/Fort,City Palace,City Palace Road,700-1500,Royal palace complex with museums,4.4/5,9:30 AM - 5:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Palace/Fort,Hawa Mahal,Hawa Mahal Road,200-300,Iconic pink sandstone palace with 953 windows,4.3/5,9:00 AM - 4:30 PM,,,,,,,,,,,,,,,
Tourist Spots,Palace/Fort,Nahargarh Fort,Nahargarh Hills,300-500,Hilltop fort with panoramic city views,4.2/5,10:00 AM - 5:30 PM,,,,,,,,,,,,,,,
Tourist Spots,Palace/Fort,Jaigarh Fort,Aravalli Hills,300-400,Fort housing world's largest cannon,4.1/5,9:00 AM - 4:30 PM,,,,,,,,,,,,,,,
Tourist Spots,Religious,Birla Mandir,Tilak Nagar,Free,Beautiful white marble temple,4.3/5,6:00 AM - 10:00 PM,,,,,,,,,,,,,,,
Tourist Spots,Religious,Govind Dev Ji Temple,City Palace Complex,Free,Famous Krishna temple,4.4/5,4:30 AM - 11:30 PM,,,,,,,,,,,,,,,
Tourist Spots,Garden/Park,Jal Mahal,Man Sagar Lake,100-200,Water palace in middle of lake,4.0/5,24 hours (viewing),,,,,,,,,,,,,,,
Tourist Spots,Observatory,Jantar Mantar,Jantar Mantar Road,200-300,UNESCO World Heritage astronomical observatory,4.2/5,9:00 AM - 4:30 PM,,,,,,,,,,,,,,,
Tourist Spots,Garden/Park,Ram Niwas Garden,Ram Niwas Garden,50-100,Historic garden with zoo and museum,3.8/5,8:00 AM - 6:00 PM,,,,,,,,,,,,,,,
Shopping,Market,Johari Bazaar,Old City,500-50000,Jewelry gems and traditional ornaments,4.2/5,10:00 AM - 9:00 PM,,,,,,,,,,,,,,,
Shopping,Market,Bapu Bazaar,Bapu Bazaar Road,200-5000,Textiles shoes and handicrafts,4.1/5,10:00 AM - 9:00 PM,,,,,,,,,,,,,,,
Shopping,Market,Tripolia Bazaar,Tripolia Gate,300-8000,Lac bangles brassware and ironware,4.0/5,10:00 AM - 8:00 PM,,,,,,,,,,,,,,,
Shopping,Mall,World Trade Park,Malviya Nagar,500-10000,Modern shopping mall with brands,4.3/5,10:00 AM - 10:00 PM,,,,,,,,,,,,,,,
Shopping,Handicrafts,Rajasthali,MI Road,200-3000,Government emporium for handicrafts,4.1/5,10:00 AM - 7:30 PM,,,,,,,,,,,,,,,
Shopping,Market,Chandpole Bazaar,Chandpole Gate,100-2000,Marble items and traditional goods,3.9/5,10:00 AM - 8:00 PM,,,,,,,,,,,,,,,
Shopping,Market,Nehru Bazaar,Nehru Bazaar Road,150-3000,Perfumes mojaris and textiles,4.0/5,10:00 AM - 9:00 PM,,,,,,,,,,,,,,,
Shopping,Handicrafts,Anokhi,C-Scheme,800-5000,Block-printed textiles and clothing,4.4/5,10:00 AM - 8:00 PM,,,,,,,,,,,,,,,
